2017-10-24 17:55:17.289757 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit01.
Trial ID: 5.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 78.77%
C =       0.062500; acc = 77.98%
C =       0.125000; acc = 77.09%
C =       0.250000; acc = 76.49%
C =       0.500000; acc = 75.97%
C =       1.000000; acc = 76.43%
C =       2.000000; acc = 77.37%
C =       4.000000; acc = 77.71%
C =       8.000000; acc = 77.82%
C =      16.000000; acc = 77.82%
C =      32.000000; acc = 77.82%
C =      64.000000; acc = 77.82%
C =     128.000000; acc = 77.82%
C =     256.000000; acc = 77.82%
C =     512.000000; acc = 77.82%
C =    1024.000000; acc = 77.82%
C =    2048.000000; acc = 77.82%
C =    4096.000000; acc = 77.82%
C =    8192.000000; acc = 77.82%
C =   16384.000000; acc = 77.82%
2017-10-24 22:31:59.067918 Finish.
Total elapsed time: 04:36:42.07.
